Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B),Memory (MB)
float32-sdpa-pytorch,huggyllama/llama-7b,1.902,0.1776689574999181,5.617,307194.733,pytorch,float32,Unquantized,SDPA,No Kernel,LlamaForCausalLM,13.116,6.39,6,27906.167
float16-eager-pytorch,huggyllama/llama-7b,2.357,0.1713420504984242,5.829,319098.921,pytorch,float16,Unquantized,Eager,No Kernel,LlamaForCausalLM,13.166,6.39,6,14171.513
float16-sdpa-pytorch,huggyllama/llama-7b,3.189,0.1702621179993002,5.869,321400.442,pytorch,float16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,13.919,6.39,6,14133.228
bfloat16-eager-pytorch,huggyllama/llama-7b,2.648,0.1369990760013024,7.286,400431.111,pytorch,bfloat16,Unquantized,Eager,No Kernel,LlamaForCausalLM,11.288,6.39,6,14170.825
bfloat16-sdpa-pytorch,huggyllama/llama-7b,2.621,0.1336110524989635,7.471,408834.685,pytorch,bfloat16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,11.051,6.39,6,14133.477
float16-eager-pytorch,EleutherAI/gpt-neo-2.7B,1.031,0.0869190795001486,11.479,629554.989,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,6.51,6.34,2,6186.164
float16-eager,EleutherAI/gpt-neo-2.7B,0.801,0.0849415680004312,11.729,640769.304,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,6.17,6.34,2,6188.433
float16-eager,EleutherAI/gpt-neo-2.7B,0.8,0.084332387500126,11.828,650935.2,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,6.122,6.34,2,6187.131
float32-eager-pytorch,EleutherAI/gpt-neo-2.7B,0.852,0.0816032840002662,12.224,673195.243,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,6.008,6.34,2,11885.404
float32-eager,EleutherAI/gpt-neo-2.7B,0.708,0.0810603789996093,12.282,670208.757,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,5.835,6.34,2,11981.279
float32-eager,EleutherAI/gpt-neo-2.7B,0.706,0.0804067849999228,12.383,677606.979,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,5.795,6.34,2,11881.374
bfloat16-eager-pytorch,EleutherAI/gpt-neo-2.7B,1.203,0.0707485260004432,14.111,773599.126,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,5.668,6.34,2,6171.55
bfloat16-eager,EleutherAI/gpt-neo-2.7B,0.998,0.0689753804999782,14.456,795143.652,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,5.351,6.34,2,6176.227
bfloat16-eager,EleutherAI/gpt-neo-2.7B,1.002,0.0687287869986903,14.509,792759.133,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,5.339,6.34,2,6177.239
bfloat16-sdpa-onnxruntime,openai-community/gpt2,0.088,0.0120611600000302,75.833,4196273.289,onnxruntime,bfloat16,Unquantized,,No Kernel,GPT2LMHeadModel,0.917,6.3,0,4142.838
float16-sdpa-onnxruntime,openai-community/gpt2,0.088,0.0120873379999579,75.907,4199482.018,onnxruntime,float16,Unquantized,,No Kernel,GPT2LMHeadModel,0.918,6.3,0,4151.923
float32-sdpa-onnxruntime,openai-community/gpt2,0.089,0.0120886330000189,75.925,4252504.055,onnxruntime,float32,Unquantized,,No Kernel,GPT2LMHeadModel,0.916,6.3,0,4146.557
bfloat16-eager-onnxruntime,openai-community/gpt2,0.073,0.0116880475000016,79.544,4120164.541,onnxruntime,bfloat16,Unquantized,,No Kernel,GPT2LMHeadModel,0.845,6.3,0,3652.559
float16-eager-onnxruntime,openai-community/gpt2,0.072,0.0111058999999897,81.786,4202810.709,onnxruntime,float16,Unquantized,,No Kernel,GPT2LMHeadModel,0.834,6.3,0,4106.113
float32-eager-onnxruntime,openai-community/gpt2,0.073,0.0109819470000047,83.013,4179170.436,onnxruntime,float32,Unquantized,,No Kernel,GPT2LMHeadModel,0.829,6.3,0,4056.396
float16-eager-pytorch,openai-community/gpt2,0.076,0.0111068699989118,89.693,4975540.819,pytorch,float16,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.777,6.3,0,771.944
float32-eager-pytorch,openai-community/gpt2,0.064,0.0104752865008777,94.92,5302037.755,pytorch,float32,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.728,6.3,0,1242.313
bfloat16-eager,openai-community/gpt2,0.063,0.0094242439999732,105.028,5685666.533,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.662,6.3,0,849.957
float16-eager,openai-community/gpt2,0.061,0.0092375490000051,107.526,5921185.885,pytorch,float16,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.647,6.3,0,872.149
float32-eager,openai-community/gpt2,0.05,0.008889124999996,111.897,6139912.543,pytorch,float32,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.613,6.3,0,1269.215
bfloat16-sdpa,openai-community/gpt2,0.061,0.0085712839999132,115.677,6378039.723,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,0.605,6.3,0,885.694
float16-sdpa,openai-community/gpt2,0.115,0.008442884499999,117.532,6476785.902,pytorch,float16,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,0.651,6.3,0,817.938
float32-sdpa,openai-community/gpt2,0.049,0.0082918630000108,119.922,6672009.22,pytorch,float32,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,0.574,6.3,0,1320.399
float16-sdpa-pytorch,EleutherAI/gpt-neox-20b,9.033,0.4760081909998916,2.1,114945.236,pytorch,float16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,39.024,5.99,20,42908.254
float16-eager-pytorch,EleutherAI/gpt-neox-20b,7.195,0.4732058745003087,2.111,115727.092,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,37.013,5.99,20,42939.724
float16-sdpa,EleutherAI/gpt-neox-20b,7.388,0.4669931429998541,2.139,116395.282,pytorch,float16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,36.836,5.99,20,42918.109
float16-eager,EleutherAI/gpt-neox-20b,5.592,0.4660075419997156,2.143,118115.231,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,34.953,5.99,20,42914.644
bfloat16-eager-pytorch,EleutherAI/gpt-neox-20b,8.426,0.3851567665005859,2.593,142390.438,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,32.72,5.99,20,42908.385
bfloat16-sdpa-pytorch,EleutherAI/gpt-neox-20b,8.253,0.3812419055002465,2.621,143956.35,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,32.285,5.99,20,42912.154
bfloat16-eager,EleutherAI/gpt-neox-20b,6.996,0.3802231934987503,2.626,143645.137,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,30.977,5.99,20,42915.758
bfloat16-sdpa,EleutherAI/gpt-neox-20b,6.874,0.3749477405017387,2.662,146075.092,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,30.556,5.99,20,42914.816
float32-eager-pytorch,EleutherAI/pythia-12b,3.384,0.3000294025005132,3.327,182781.389,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,22.322,5.93,12,49484.567
float32-sdpa-pytorch,EleutherAI/pythia-12b,2.908,0.295027437500039,3.353,184132.587,pytorch,float32,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,21.693,5.93,12,49521.852
float16-eager-pytorch,EleutherAI/pythia-12b,3.265,0.2749581315001705,3.634,199031.008,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,20.603,5.93,12,25101.447
float16-sdpa-pytorch,EleutherAI/pythia-12b,3.924,0.2729686630000287,3.654,201175.572,pytorch,float16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,21.191,5.93,12,25088.344
bfloat16-eager-pytorch,EleutherAI/pythia-12b,3.985,0.2175876744997822,4.581,250990.755,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,17.737,5.93,12,25086.407
bfloat16-sdpa-pytorch,EleutherAI/pythia-12b,3.961,0.215286299499894,4.629,254151.272,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,17.563,5.93,12,25087.459
float16-eager-pytorch,EleutherAI/pythia-160m,0.065,0.0102060810004331,97.177,5316994.711,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,0.713,5.62,0,879.444
float16-sdpa-pytorch,EleutherAI/pythia-160m,0.119,0.0096355904997835,102.957,5600234.958,pytorch,float16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,0.731,5.62,0,865.64
bfloat16-eager-pytorch,EleutherAI/pythia-160m,0.072,0.0089937070001724,110.461,6071265.567,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,0.642,5.62,0,874.57
float32-eager-pytorch,EleutherAI/pythia-160m,0.052,0.0084664685005009,117.676,6248500.721,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,0.588,5.62,0,1248.494
bfloat16-sdpa-pytorch,EleutherAI/pythia-160m,0.067,0.008083741000064,122.575,6747786.233,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,0.581,5.62,0,864.186
float32-sdpa-pytorch,EleutherAI/pythia-160m,0.048,0.0076464819994725,130.087,7176966.332,pytorch,float32,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,0.534,5.62,0,1247.695
bfloat16-eager,openai-community/gpt2-large,0.36,0.0806804094991093,15.207,487587.422,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPT2LMHeadModel,4.484,5.48,0,2266.223
bfloat16-sdpa,openai-community/gpt2-large,0.312,0.0767570840007465,16.945,545104.457,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,4.021,5.48,0,2352.243
float16-eager,openai-community/gpt2-large,0.301,0.0760886630005188,17.265,554456.631,pytorch,float16,Unquantized,Eager,No Kernel,GPT2LMHeadModel,3.951,5.48,0,2284.421
float32-eager,openai-community/gpt2-large,0.398,0.0740778385006706,18.202,584138.127,pytorch,float32,Unquantized,Eager,No Kernel,GPT2LMHeadModel,3.875,5.48,0,4193.845
float16-sdpa,openai-community/gpt2-large,0.292,0.0717373135003072,19.482,624176.836,pytorch,float16,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,3.51,5.48,0,2295.587
float32-sdpa,openai-community/gpt2-large,0.394,0.0714631444998303,19.652,631347.128,pytorch,float32,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,3.599,5.48,0,4161.528
float32-eager,EleutherAI/gpt-neo-1.3B,0.363,0.0448389024995776,22.187,1221480.703,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,3.199,5.33,1,6337.368
float32-eager,EleutherAI/gpt-neo-1.3B,0.369,0.0446696134995363,22.278,1210577.947,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,3.195,5.33,1,6339.305
float32-eager-pytorch,EleutherAI/gpt-neo-1.3B,0.436,0.0447443500002009,22.281,1215774.198,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,3.264,5.33,1,6332.846
float16-eager-pytorch,EleutherAI/gpt-neo-1.3B,0.536,0.0442439564999403,22.559,1240146.084,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,3.325,5.33,1,3414.95
float16-eager,EleutherAI/gpt-neo-1.3B,0.429,0.0432113269998808,23.087,1262647.507,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,3.16,5.33,1,3414.639
float16-eager,EleutherAI/gpt-neo-1.3B,0.422,0.0430152684998574,23.173,1267755.326,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,3.14,5.33,1,3417.17
bfloat16-eager-pytorch,EleutherAI/gpt-neo-1.3B,0.62,0.0371754689999761,26.843,1465639.619,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,2.966,5.33,1,3403.878
bfloat16-eager,EleutherAI/gpt-neo-1.3B,0.508,0.0365729984996505,27.246,1510322.131,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,2.815,5.33,1,3404.587
bfloat16-eager,EleutherAI/gpt-neo-1.3B,0.506,0.0362043885002094,27.543,1503422.431,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,2.8,5.33,1,3401.163
float16-eager-pytorch,Qwen/Qwen1.5-0.5B,0.195,0.0257004274999417,38.644,2133646.624,pytorch,float16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,1.827,5.14,0,1929.47
float16-sdpa-pytorch,Qwen/Qwen1.5-0.5B,0.356,0.0250518619996,39.843,2183052.227,pytorch,float16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,1.937,5.14,0,1929.634
float32-eager-pytorch,Qwen/Qwen1.5-0.5B,0.216,0.0214686839990463,46.17,2555238.478,pytorch,float32,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,1.561,5.14,0,3363.25
bfloat16-eager-pytorch,Qwen/Qwen1.5-0.5B,0.223,0.0213872935000836,46.513,2583780.975,pytorch,bfloat16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,1.573,5.14,0,1928.868
float32-sdpa-pytorch,Qwen/Qwen1.5-0.5B,0.206,0.0211469964997377,47.17,2595392.566,pytorch,float32,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,1.545,5.14,0,3360.842
bfloat16-sdpa-pytorch,Qwen/Qwen1.5-0.5B,0.221,0.0199760699997568,49.845,2776314.214,pytorch,bfloat16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,1.484,5.14,0,1928.929
float16-eager-pytorch,EleutherAI/pythia-410m,0.158,0.0216884299998127,45.774,2562413.471,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,1.528,5.11,0,1479.59
float16-sdpa-pytorch,EleutherAI/pythia-410m,0.305,0.0205398710004374,48.433,2696935.67,pytorch,float16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,1.604,5.11,0,1462.845
float32-eager-pytorch,EleutherAI/pythia-410m,0.16,0.0186758115005432,53.199,2929994.832,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,1.342,5.11,0,2351.448
bfloat16-eager-pytorch,EleutherAI/pythia-410m,0.179,0.0183158115000878,54.183,2950681.05,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoXForCausalLM,1.34,5.11,0,1481.654
float32-sdpa-pytorch,EleutherAI/pythia-410m,0.156,0.0171640920002573,57.796,3124342.246,pytorch,float32,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,1.24,5.11,0,2347.794
bfloat16-sdpa-pytorch,EleutherAI/pythia-410m,0.167,0.0167810164998627,59.255,3281929.695,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPTNeoXForCausalLM,1.228,5.11,0,1455.829
float16-eager-pytorch,EleutherAI/gpt-neo-125m,0.077,0.0107427709999683,92.567,5069324.133,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.757,4.38,0,847.913
float16-eager,EleutherAI/gpt-neo-125m,0.065,0.0102126899982977,97.478,5332599.67,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.711,4.38,0,845.558
float16-eager,EleutherAI/gpt-neo-125m,0.065,0.0101911390001987,97.672,5462657.542,pytorch,float16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.71,4.38,0,848.769
bfloat16-eager-pytorch,EleutherAI/gpt-neo-125m,0.081,0.0090995985001427,109.073,5990895.126,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.658,4.38,0,845.455
bfloat16-eager,EleutherAI/gpt-neo-125m,0.066,0.0086571300016657,114.469,6337765.159,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.615,4.38,0,846.782
bfloat16-eager,EleutherAI/gpt-neo-125m,0.065,0.0085933930004102,115.672,6361734.225,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.609,4.38,0,851.239
float32-eager-pytorch,EleutherAI/gpt-neo-125m,0.054,0.0081933110000136,121.378,6502091.77,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.573,4.38,0,1205.658
float32-eager,EleutherAI/gpt-neo-125m,0.044,0.0079488820001643,125.109,6866824.482,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.548,4.38,0,1205.719
float32-eager,EleutherAI/gpt-neo-125m,0.044,0.0078754409987595,126.156,6946795.069,pytorch,float32,Unquantized,Eager,No Kernel,GPTNeoForCausalLM,0.542,4.38,0,1204.589
bfloat16-sdpa-onnxruntime,distilbert/distilgpt2,0.057,0.0076488570000492,118.885,6518217.2,onnxruntime,bfloat16,Unquantized,,No Kernel,GPT2LMHeadModel,0.585,3.9,0,3213.451
float16-sdpa-onnxruntime,distilbert/distilgpt2,0.062,0.0074883445000182,121.376,6698747.349,onnxruntime,float16,Unquantized,,No Kernel,GPT2LMHeadModel,0.579,3.9,0,3012.551
bfloat16-eager-onnxruntime,distilbert/distilgpt2,0.062,0.007463836500051,122.273,6722976.203,onnxruntime,bfloat16,Unquantized,,No Kernel,GPT2LMHeadModel,0.576,3.9,0,2984.538
float32-eager-onnxruntime,distilbert/distilgpt2,0.064,0.0074423895000563,122.806,7307681.298,onnxruntime,float32,Unquantized,,No Kernel,GPT2LMHeadModel,0.577,3.9,0,3186.237
float16-eager-onnxruntime,distilbert/distilgpt2,0.044,0.0069099039999969,132.081,7280117.864,onnxruntime,float16,Unquantized,,No Kernel,GPT2LMHeadModel,0.525,3.9,0,3329.495
float32-sdpa-onnxruntime,distilbert/distilgpt2,0.044,0.0069293959999754,133.137,7124462.94,onnxruntime,float32,Unquantized,,No Kernel,GPT2LMHeadModel,0.527,3.9,0,3664.679
float16-eager,distilbert/distilgpt2,0.038,0.0055934199999683,176.872,9854339.399,pytorch,float16,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.395,3.9,0,762.933
bfloat16-eager,distilbert/distilgpt2,0.041,0.0053830430001653,183.163,10013367.66,pytorch,bfloat16,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.385,3.9,0,741.716
float32-eager,distilbert/distilgpt2,0.031,0.0053514540004471,185.487,10315773.503,pytorch,float32,Unquantized,Eager,No Kernel,GPT2LMHeadModel,0.369,3.9,0,1126.081
float16-sdpa,distilbert/distilgpt2,0.066,0.0051323429997864,192.341,10732242.524,pytorch,float16,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,0.393,3.9,0,724.738
float32-sdpa,distilbert/distilgpt2,0.03,0.0050136070003645,197.257,10916938.859,pytorch,float32,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,0.347,3.9,0,1072.931
bfloat16-sdpa,distilbert/distilgpt2,0.04,0.0047983570002543,205.009,11004335.394,pytorch,bfloat16,Unquantized,SDPA,No Kernel,GPT2LMHeadModel,0.346,3.9,0,772.407
