Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B),Memory (MB),_effective_bpw,_n_threads,_n_batch,_n_gpu_layers,_kv_type_k,_kv_type_v,_n_depth,_hw
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.098,0.006835,146.299,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,0.9729,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.098,0.006864,145.682,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,0.9766,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1084,0.008028,124.563,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,1.136,,7.616,4461.4,4.9132,48,2048,99,f16,f16,512,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.1272,0.007562,132.232,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,1.0952,,7.616,4464.4,4.9132,48,2048,99,f16,f16,2048,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0897,0.00665,150.37,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,0.9409,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0897,0.00661,151.292,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,0.9357,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,4.6632,0.330979,3.021,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,47.0285,,7.616,4460.4,4.9132,48,2048,99,f16,q8_0,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,3.7299,0.187652,5.329,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,27.7494,,7.616,4460.4,4.9132,48,2048,99,f16,q4_0,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,4.3725,0.214499,4.662,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,31.8285,,7.616,4460.4,4.9132,48,2048,99,q8_0,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0931,0.00711,140.649,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,1.0032,,7.616,4460.4,4.9132,48,2048,99,q8_0,q8_0,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,5.277,0.170156,5.877,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,27.057,,7.616,4460.4,4.9132,48,2048,99,q8_0,q4_0,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,1.7384,0.324831,3.079,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,43.3168,,7.616,4460.4,4.9132,48,2048,99,q4_0,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,3.1244,1.022627,0.978,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,134.0206,,7.616,4460.4,4.9132,48,2048,99,q4_0,q8_0,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0935,0.007429,134.616,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,1.0444,,7.616,4460.4,4.9132,48,2048,99,q4_0,q4_0,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.2072,0.006835,146.299,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,1.0821,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.2072,0.006864,145.682,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,1.0858,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0989,0.006835,146.299,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,0.9738,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0989,0.006864,145.682,,llama.cpp,int4/8,Q4_K (4.91bpw),Eager,llama.cpp,qwen2 7B Q4_K - Medium,0.9776,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0904,0.00665,150.37,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,0.9416,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
qwen2 7B Q4_K - Medium|t=48|ngl=99,qwen2 7B Q4_K - Medium,0.0904,0.00661,151.292,,llama.cpp,int4/8,Q4_K (4.91bpw),FAv2,llama.cpp,qwen2 7B Q4_K - Medium,0.9365,,7.616,4460.4,4.9132,48,2048,99,f16,f16,0,RTX-3090
